State,LandCategory,Region,Region or State,Year,Acre Value
Nebraska,Farm Real Estate,Northern Plains,State,2005,910
North Dakota,Farm Real Estate,Northern Plains,State,2005,510
South Dakota,Farm Real Estate,Northern Plains,State,2005,590
Appalachian,Farm Real Estate,Appalachian,Region,2005,3000
Kentucky,Farm Real Estate,Appalachian,State,2005,2450
North Carolina,Farm Real Estate,Appalachian,State,2005,3820
Tennessee,Farm Real Estate,Appalachian,State,2005,2790
Virginia,Farm Real Estate,Appalachian,State,2005,3800
West Virginia,Farm Real Estate,Appalachian,State,2005,1900
Southeast,Farm Real Estate,Southeast,Region,2005,3220
Alabama,Farm Real Estate,Southeast,State,2005,2050
Florida,Farm Real Estate,Southeast,State,2005,4790
Georgia,Farm Real Estate,Southeast,State,2005,3140
South Carolina,Farm Real Estate,Southeast,State,2005,2370
Delta,Farm Real Estate,Delta States,Region,2005,1740
Arkansas,Farm Real Estate,Delta States,State,2005,1850
Louisiana,Farm Real Estate,Delta States,State,2005,1700
Mississippi,Farm Real Estate,Delta States,State,2005,1640
Southern Plains,Farm Real Estate,Southern Plains,Region,2005,979
Oklahoma,Farm Real Estate,Southern Plains,State,2005,900
Texas,Farm Real Estate,Southern Plains,State,2005,1000
Mountain,Farm Real Estate,Mountain,Region,2005,659
Arizona,Farm Real Estate,Mountain,State,2005,2330
Colorado,Farm Real Estate,Mountain,State,2005,900
Idaho,Farm Real Estate,Mountain,State,2005,1650
Montana,Farm Real Estate,Mountain,State,2005,480
Nevada,Farm Real Estate,Mountain,State,2005,620
New Mexico,Farm Real Estate,Mountain,State,2005,330
Utah,Farm Real Estate,Mountain,State,2005,1250
Wyoming,Farm Real Estate,Mountain,State,2005,340
Pacific,Farm Real Estate,Pacific,Region,2005,3100
California,Farm Real Estate,Pacific,State,2005,5050
Oregon,Farm Real Estate,Pacific,State,2005,1380
Washington,Farm Real Estate,Pacific,State,2005,1630
United States,Farm Real Estate,Continental U.S.,Region,2005,1610
Northeast,Farm Real Estate,Northeast,Region,2006,4550
Connecticut,Farm Real Estate,Northeast,State,2006,12100
Delaware,Farm Real Estate,Northeast,State,2006,10400
Maine,Farm Real Estate,Northeast,State,2006,2110
Maryland,Farm Real Estate,Northeast,State,2006,8400
Massachusetts,Farm Real Estate,Northeast,State,2006,11700
New Hampshire,Farm Real Estate,Northeast,State,2006,4240
New Jersey,Farm Real Estate,Northeast,State,2006,14400
New York,Farm Real Estate,Northeast,State,2006,2020
Pennsylvania,Farm Real Estate,Northeast,State,2006,4380
Rhode Island,Farm Real Estate,Northeast,State,2006,15300
Vermont,Farm Real Estate,Northeast,State,2006,2480
Lake,Farm Real Estate,Lake States,Region,2006,2760
Michigan,Farm Real Estate,Lake States,State,2006,3370
Minnesota,Farm Real Estate,Lake States,State,2006,2340
Wisconsin,Farm Real Estate,Lake States,State,2006,3100
Corn Belt,Farm Real Estate,Corn Belt,Region,2006,2920
Illinois,Farm Real Estate,Corn Belt,State,2006,3590
Indiana,Farm Real Estate,Corn Belt,State,2006,3250
Iowa,Farm Real Estate,Corn Belt,State,2006,2910
Missouri,Farm Real Estate,Corn Belt,State,2006,1910
Ohio,Farm Real Estate,Corn Belt,State,2006,3420
Northern Plains,Farm Real Estate,Northern Plains,Region,2006,799
Kansas,Farm Real Estate,Northern Plains,State,2006,870
Nebraska,Farm Real Estate,Northern Plains,State,2006,1030
North Dakota,Farm Real Estate,Northern Plains,State,2006,580
South Dakota,Farm Real Estate,Northern Plains,State,2006,680
Appalachian,Farm Real Estate,Appalachian,Region,2006,3280
Kentucky,Farm Real Estate,Appalachian,State,2006,2670
North Carolina,Farm Real Estate,Appalachian,State,2006,4060
Tennessee,Farm Real Estate,Appalachian,State,2006,2970
Virginia,Farm Real Estate,Appalachian,State,2006,4430
West Virginia,Farm Real Estate,Appalachian,State,2006,2000
Southeast,Farm Real Estate,Southeast,Region,2006,3580
Alabama,Farm Real Estate,Southeast,State,2006,2100
Florida,Farm Real Estate,Southeast,State,2006,5230
Georgia,Farm Real Estate,Southeast,State,2006,3800
South Carolina,Farm Real Estate,Southeast,State,2006,2550
Delta,Farm Real Estate,Delta States,Region,2006,1870
Arkansas,Farm Real Estate,Delta States,State,2006,2000
Louisiana,Farm Real Estate,Delta States,State,2006,1780
Mississippi,Farm Real Estate,Delta States,State,2006,1770
Southern Plains,Farm Real Estate,Southern Plains,Region,2006,1140
Oklahoma,Farm Real Estate,Southern Plains,State,2006,970
Texas,Farm Real Estate,Southern Plains,State,2006,1190
Mountain,Farm Real Estate,Mountain,Region,2006,852
Arizona,Farm Real Estate,Mountain,State,2006,3050
Colorado,Farm Real Estate,Mountain,State,2006,1020
Idaho,Farm Real Estate,Mountain,State,2006,2200
Montana,Farm Real Estate,Mountain,State,2006,720
Nevada,Farm Real Estate,Mountain,State,2006,830
New Mexico,Farm Real Estate,Mountain,State,2006,410
Utah,Farm Real Estate,Mountain,State,2006,1510
Wyoming,Farm Real Estate,Mountain,State,2006,400
Pacific,Farm Real Estate,Pacific,Region,2006,3280
California,Farm Real Estate,Pacific,State,2006,5360
Oregon,Farm Real Estate,Pacific,State,2006,1470
Washington,Farm Real Estate,Pacific,State,2006,1720
United States,Farm Real Estate,Continental U.S.,Region,2006,1830
Northeast,Farm Real Estate,Northeast,Region,2007,4920
Connecticut,Farm Real Estate,Northeast,State,2007,12700
Delaware,Farm Real Estate,Northeast,State,2007,10700
Maine,Farm Real Estate,Northeast,State,2007,2230
Maryland,Farm Real Estate,Northeast,State,2007,8500
Massachusetts,Farm Real Estate,Northeast,State,2007,11900
New Hampshire,Farm Real Estate,Northeast,State,2007,4800
New Jersey,Farm Real Estate,Northeast,State,2007,15700
New York,Farm Real Estate,Northeast,State,2007,2180
Pennsylvania,Farm Real Estate,Northeast,State,2007,4970
Rhode Island,Farm Real Estate,Northeast,State,2007,16400
Vermont,Farm Real Estate,Northeast,State,2007,2740
Lake,Farm Real Estate,Lake States,Region,2007,3180
Michigan,Farm Real Estate,Lake States,State,2007,3760
Minnesota,Farm Real Estate,Lake States,State,2007,2700
Wisconsin,Farm Real Estate,Lake States,State,2007,3640
Corn Belt,Farm Real Estate,Corn Belt,Region,2007,3290
Illinois,Farm Real Estate,Corn Belt,State,2007,4020
Indiana,Farm Real Estate,Corn Belt,State,2007,3640
Iowa,Farm Real Estate,Corn Belt,State,2007,3370
Missouri,Farm Real Estate,Corn Belt,State,2007,2170
Ohio,Farm Real Estate,Corn Belt,State,2007,3700
Northern Plains,Farm Real Estate,Northern Plains,Region,2007,896
Kansas,Farm Real Estate,Northern Plains,State,2007,980
Nebraska,Farm Real Estate,Northern Plains,State,2007,1140
North Dakota,Farm Real Estate,Northern Plains,State,2007,650
South Dakota,Farm Real Estate,Northern Plains,State,2007,770
Appalachian,Farm Real Estate,Appalachian,Region,2007,3520
Kentucky,Farm Real Estate,Appalachian,State,2007,2740
North Carolina,Farm Real Estate,Appalachian,State,2007,4330
Tennessee,Farm Real Estate,Appalachian,State,2007,3250
Virginia,Farm Real Estate,Appalachian,State,2007,4900
West Virginia,Farm Real Estate,Appalachian,State,2007,2300
Southeast,Farm Real Estate,Southeast,Region,2007,3890
Alabama,Farm Real Estate,Southeast,State,2007,2200
Florida,Farm Real Estate,Southeast,State,2007,5500
Georgia,Farm Real Estate,Southeast,State,2007,4350
South Carolina,Farm Real Estate,Southeast,State,2007,2820
Delta,Farm Real Estate,Delta States,Region,2007,2080
Arkansas,Farm Real Estate,Delta States,State,2007,2240
Louisiana,Farm Real Estate,Delta States,State,2007,1950
Mississippi,Farm Real Estate,Delta States,State,2007,1970
Southern Plains,Farm Real Estate,Southern Plains,Region,2007,1320
Oklahoma,Farm Real Estate,Southern Plains,State,2007,1080
Texas,Farm Real Estate,Southern Plains,State,2007,1380
Mountain,Farm Real Estate,Mountain,Region,2007,964
Arizona,Farm Real Estate,Mountain,State,2007,3200
Colorado,Farm Real Estate,Mountain,State,2007,1130
Idaho,Farm Real Estate,Mountain,State,2007,2480
Montana,Farm Real Estate,Mountain,State,2007,830
Nevada,Farm Real Estate,Mountain,State,2007,980
New Mexico,Farm Real Estate,Mountain,State,2007,460
Utah,Farm Real Estate,Mountain,State,2007,1730
Wyoming,Farm Real Estate,Mountain,State,2007,490
Pacific,Farm Real Estate,Pacific,Region,2007,3660
California,Farm Real Estate,Pacific,State,2007,5960
Oregon,Farm Real Estate,Pacific,State,2007,1720
Washington,Farm Real Estate,Pacific,State,2007,1850
United States,Farm Real Estate,Continental U.S.,Region,2007,2010
Northeast,Farm Real Estate,Northeast,Region,2008,4980
Connecticut,Farm Real Estate,Northeast,State,2008,12700
Delaware,Farm Real Estate,Northeast,State,2008,10300
Maine,Farm Real Estate,Northeast,State,2008,2200
Maryland,Farm Real Estate,Northeast,State,2008,8000
Massachusetts,Farm Real Estate,Northeast,State,2008,12300
New Hampshire,Farm Real Estate,Northeast,State,2008,4900
New Jersey,Farm Real Estate,Northeast,State,2008,15300
New York,Farm Real Estate,Northeast,State,2008,2350
Pennsylvania,Farm Real Estate,Northeast,State,2008,5120
Rhode Island,Farm Real Estate,Northeast,State,2008,16800
Vermont,Farm Real Estate,Northeast,State,2008,2900
Lake,Farm Real Estate,Lake States,Region,2008,3410
Michigan,Farm Real Estate,Lake States,State,2008,3900
Minnesota,Farm Real Estate,Lake States,State,2008,2970
Wisconsin,Farm Real Estate,Lake States,State,2008,3850
Corn Belt,Farm Real Estate,Corn Belt,Region,2008,3700
Illinois,Farm Real Estate,Corn Belt,State,2008,4550
Indiana,Farm Real Estate,Corn Belt,State,2008,4100
Iowa,Farm Real Estate,Corn Belt,State,2008,3950
Missouri,Farm Real Estate,Corn Belt,State,2008,2300
Ohio,Farm Real Estate,Corn Belt,State,2008,4020
Northern Plains,Farm Real Estate,Northern Plains,Region,2008,1020
Kansas,Farm Real Estate,Northern Plains,State,2008,1020
Nebraska,Farm Real Estate,Northern Plains,State,2008,1330
North Dakota,Farm Real Estate,Northern Plains,State,2008,770
South Dakota,Farm Real Estate,Northern Plains,State,2008,920
Appalachian,Farm Real Estate,Appalachian,Region,2008,3650
Kentucky,Farm Real Estate,Appalachian,State,2008,2850
North Carolina,Farm Real Estate,Appalachian,State,2008,4450
Tennessee,Farm Real Estate,Appalachian,State,2008,3450
Virginia,Farm Real Estate,Appalachian,State,2008,5000
West Virginia,Farm Real Estate,Appalachian,State,2008,2500
Southeast,Farm Real Estate,Southeast,Region,2008,3940
Alabama,Farm Real Estate,Southeast,State,2008,2300
Florida,Farm Real Estate,Southeast,State,2008,5640
Georgia,Farm Real Estate,Southeast,State,2008,4300
South Carolina,Farm Real Estate,Southeast,State,2008,2950
Delta,Farm Real Estate,Delta States,Region,2008,2220
Arkansas,Farm Real Estate,Delta States,State,2008,2420
Louisiana,Farm Real Estate,Delta States,State,2008,2050
Mississippi,Farm Real Estate,Delta States,State,2008,2080
Southern Plains,Farm Real Estate,Southern Plains,Region,2008,1470
Oklahoma,Farm Real Estate,Southern Plains,State,2008,1150
Texas,Farm Real Estate,Southern Plains,State,2008,1550
Mountain,Farm Real Estate,Mountain,Region,2008,1030
Arizona,Farm Real Estate,Mountain,State,2008,3500
Colorado,Farm Real Estate,Mountain,State,2008,1150
Idaho,Farm Real Estate,Mountain,State,2008,2500
Montana,Farm Real Estate,Mountain,State,2008,900
Nevada,Farm Real Estate,Mountain,State,2008,1000
New Mexico,Farm Real Estate,Mountain,State,2008,500
Utah,Farm Real Estate,Mountain,State,2008,1850
Wyoming,Farm Real Estate,Mountain,State,2008,560
Pacific,Farm Real Estate,Pacific,Region,2008,3970
California,Farm Real Estate,Pacific,State,2008,6440
Oregon,Farm Real Estate,Pacific,State,2008,1900
Washington,Farm Real Estate,Pacific,State,2008,2020
United States,Farm Real Estate,Continental U.S.,Region,2008,2170
Northeast,Farm Real Estate,Northeast,Region,2009,4830
Connecticut,Farm Real Estate,Northeast,State,2009,12000
Delaware,Farm Real Estate,Northeast,State,2009,8900
Maine,Farm Real Estate,Northeast,State,2009,2100
Maryland,Farm Real Estate,Northeast,State,2009,7500
Massachusetts,Farm Real Estate,Northeast,State,2009,12000
New Hampshire,Farm Real Estate,Northeast,State,2009,4800
New Jersey,Farm Real Estate,Northeast,State,2009,13800
New York,Farm Real Estate,Northeast,State,2009,2400
Pennsylvania,Farm Real Estate,Northeast,State,2009,5100
Rhode Island,Farm Real Estate,Northeast,State,2009,15300
Vermont,Farm Real Estate,Northeast,State,2009,2800
Lake,Farm Real Estate,Lake States,Region,2009,3300
Michigan,Farm Real Estate,Lake States,State,2009,3750
Minnesota,Farm Real Estate,Lake States,State,2009,2870
Wisconsin,Farm Real Estate,Lake States,State,2009,3750
Corn Belt,Farm Real Estate,Corn Belt,Region,2009,3620
Illinois,Farm Real Estate,Corn Belt,State,2009,4530
Indiana,Farm Real Estate,Corn Belt,State,2009,4020
Iowa,Farm Real Estate,Corn Belt,State,2009,3850
Missouri,Farm Real Estate,Corn Belt,State,2009,2200
Ohio,Farm Real Estate,Corn Belt,State,2009,3880
Northern Plains,Farm Real Estate,Northern Plains,Region,2009,1020
Kansas,Farm Real Estate,Northern Plains,State,2009,1030
Nebraska,Farm Real Estate,Northern Plains,State,2009,1340
North Dakota,Farm Real Estate,Northern Plains,State,2009,780
South Dakota,Farm Real Estate,Northern Plains,State,2009,890
Appalachian,Farm Real Estate,Appalachian,Region,2009,3530
Kentucky,Farm Real Estate,Appalachian,State,2009,2850
North Carolina,Farm Real Estate,Appalachian,State,2009,4250
Tennessee,Farm Real Estate,Appalachian,State,2009,3300
Virginia,Farm Real Estate,Appalachian,State,2009,4800
West Virginia,Farm Real Estate,Appalachian,State,2009,2400
Southeast,Farm Real Estate,Southeast,Region,2009,3690
Alabama,Farm Real Estate,Southeast,State,2009,2150
Florida,Farm Real Estate,Southeast,State,2009,5150
Georgia,Farm Real Estate,Southeast,State,2009,4100
South Carolina,Farm Real Estate,Southeast,State,2009,2900
Delta,Farm Real Estate,Delta States,Region,2009,2160
Arkansas,Farm Real Estate,Delta States,State,2009,2390
Louisiana,Farm Real Estate,Delta States,State,2009,1970
Mississippi,Farm Real Estate,Delta States,State,2009,2000
Southern Plains,Farm Real Estate,Southern Plains,Region,2009,1470
Oklahoma,Farm Real Estate,Southern Plains,State,2009,1170
Texas,Farm Real Estate,Southern Plains,State,2009,1550
Mountain,Farm Real Estate,Mountain,Region,2009,922
Arizona,Farm Real Estate,Mountain,State,2009,3500
Colorado,Farm Real Estate,Mountain,State,2009,1100
Idaho,Farm Real Estate,Mountain,State,2009,2200
Montana,Farm Real Estate,Mountain,State,2009,700
Nevada,Farm Real Estate,Mountain,State,2009,1000
New Mexico,Farm Real Estate,Mountain,State,2009,480
Utah,Farm Real Estate,Mountain,State,2009,1800
Wyoming,Farm Real Estate,Mountain,State,2009,520
Pacific,Farm Real Estate,Pacific,Region,2009,4010
California,Farm Real Estate,Pacific,State,2009,6600
Oregon,Farm Real Estate,Pacific,State,2009,1800
Washington,Farm Real Estate,Pacific,State,2009,2000
United States,Farm Real Estate,Continental U.S.,Region,2009,2110
Northeast,Farm Real Estate,Northeast,Region,2010,4690
Connecticut,Farm Real Estate,Northeast,State,2010,11500
Delaware,Farm Real Estate,Northeast,State,2010,8130
Maine,Farm Real Estate,Northeast,State,2010,2050
Maryland,Farm Real Estate,Northeast,State,2010,6980
Massachusetts,Farm Real Estate,Northeast,State,2010,11200
New Hampshire,Farm Real Estate,Northeast,State,2010,4690
New Jersey,Farm Real Estate,Northeast,State,2010,13100
New York,Farm Real Estate,Northeast,State,2010,2400
Pennsylvania,Farm Real Estate,Northeast,State,2010,5050
Rhode Island,Farm Real Estate,Northeast,State,2010,14600
Vermont,Farm Real Estate,Northeast,State,2010,2900
Lake,Farm Real Estate,Lake States,Region,2010,3220
Michigan,Farm Real Estate,Lake States,State,2010,3490
Minnesota,Farm Real Estate,Lake States,State,2010,2870
Wisconsin,Farm Real Estate,Lake States,State,2010,3650
Corn Belt,Farm Real Estate,Corn Belt,Region,2010,3830
Illinois,Farm Real Estate,Corn Belt,State,2010,4720
Indiana,Farm Real Estate,Corn Belt,State,2010,4170
Iowa,Farm Real Estate,Corn Belt,State,2010,4350
Missouri,Farm Real Estate,Corn Belt,State,2010,2270
Ohio,Farm Real Estate,Corn Belt,State,2010,3850
Northern Plains,Farm Real Estate,Northern Plains,Region,2010,1080
Kansas,Farm Real Estate,Northern Plains,State,2010,1060
Nebraska,Farm Real Estate,Northern Plains,State,2010,1470
North Dakota,Farm Real Estate,Northern Plains,State,2010,821
South Dakota,Farm Real Estate,Northern Plains,State,2010,945
Appalachian,Farm Real Estate,Appalachian,Region,2010,3480
Kentucky,Farm Real Estate,Appalachian,State,2010,2780
North Carolina,Farm Real Estate,Appalachian,State,2010,4120
Tennessee,Farm Real Estate,Appalachian,State,2010,3460
Virginia,Farm Real Estate,Appalachian,State,2010,4500
West Virginia,Farm Real Estate,Appalachian,State,2010,2330
Southeast,Farm Real Estate,Southeast,Region,2010,3630
Alabama,Farm Real Estate,Southeast,State,2010,2300
Florida,Farm Real Estate,Southeast,State,2010,5090
Georgia,Farm Real Estate,Southeast,State,2010,3770
South Carolina,Farm Real Estate,Southeast,State,2010,2950
Delta,Farm Real Estate,Delta States,Region,2010,2210
Arkansas,Farm Real Estate,Delta States,State,2010,2400
Louisiana,Farm Real Estate,Delta States,State,2010,2050
Mississippi,Farm Real Estate,Delta States,State,2010,2080
Southern Plains,Farm Real Estate,Southern Plains,Region,2010,1520
Oklahoma,Farm Real Estate,Southern Plains,State,2010,1200
Texas,Farm Real Estate,Southern Plains,State,2010,1600
Mountain,Farm Real Estate,Mountain,Region,2010,902
Arizona,Farm Real Estate,Mountain,State,2010,3390
Colorado,Farm Real Estate,Mountain,State,2010,1080
Idaho,Farm Real Estate,Mountain,State,2010,2110
Montana,Farm Real Estate,Mountain,State,2010,700
Nevada,Farm Real Estate,Mountain,State,2010,997
New Mexico,Farm Real Estate,Mountain,State,2010,460
Utah,Farm Real Estate,Mountain,State,2010,1810
Wyoming,Farm Real Estate,Mountain,State,2010,540
Pacific,Farm Real Estate,Pacific,Region,2010,4070
California,Farm Real Estate,Pacific,State,2010,6660
Oregon,Farm Real Estate,Pacific,State,2010,1830
Washington,Farm Real Estate,Pacific,State,2010,2030
United States,Farm Real Estate,Continental U.S.,Region,2010,2150
Northeast,Farm Real Estate,Northeast,Region,2011,4690
Connecticut,Farm Real Estate,Northeast,State,2011,11600
Delaware,Farm Real Estate,Northeast,State,2011,8140
Maine,Farm Real Estate,Northeast,State,2011,2080
Maryland,Farm Real Estate,Northeast,State,2011,6870
Massachusetts,Farm Real Estate,Northeast,State,2011,10900
New Hampshire,Farm Real Estate,Northeast,State,2011,4560
New Jersey,Farm Real Estate,Northeast,State,2011,12800
New York,Farm Real Estate,Northeast,State,2011,2450
Pennsylvania,Farm Real Estate,Northeast,State,2011,5070
Rhode Island,Farm Real Estate,Northeast,State,2011,14400
Vermont,Farm Real Estate,Northeast,State,2011,2980
Lake,Farm Real Estate,Lake States,Region,2011,3450
Michigan,Farm Real Estate,Lake States,State,2011,3600
Minnesota,Farm Real Estate,Lake States,State,2011,3160
Wisconsin,Farm Real Estate,Lake States,State,2011,3880
Corn Belt,Farm Real Estate,Corn Belt,Region,2011,4460
Illinois,Farm Real Estate,Corn Belt,State,2011,5390
Indiana,Farm Real Estate,Corn Belt,State,2011,5070
Iowa,Farm Real Estate,Corn Belt,State,2011,5410
Missouri,Farm Real Estate,Corn Belt,State,2011,2420
Ohio,Farm Real Estate,Corn Belt,State,2011,4160
Northern Plains,Farm Real Estate,Northern Plains,Region,2011,1290
Kansas,Farm Real Estate,Northern Plains,State,2011,1240
Nebraska,Farm Real Estate,Northern Plains,State,2011,1840
North Dakota,Farm Real Estate,Northern Plains,State,2011,930
South Dakota,Farm Real Estate,Northern Plains,State,2011,1090
Appalachian,Farm Real Estate,Appalachian,Region,2011,3520
Kentucky,Farm Real Estate,Appalachian,State,2011,2750
North Carolina,Farm Real Estate,Appalachian,State,2011,4340
Tennessee,Farm Real Estate,Appalachian,State,2011,3510
Virginia,Farm Real Estate,Appalachian,State,2011,4350
West Virginia,Farm Real Estate,Appalachian,State,2011,2580
Southeast,Farm Real Estate,Southeast,Region,2011,3610
Alabama,Farm Real Estate,Southeast,State,2011,2340
Florida,Farm Real Estate,Southeast,State,2011,5130
Georgia,Farm Real Estate,Southeast,State,2011,3610
South Carolina,Farm Real Estate,Southeast,State,2011,2980
Delta,Farm Real Estate,Delta States,Region,2011,2300
Arkansas,Farm Real Estate,Delta States,State,2011,2440
Louisiana,Farm Real Estate,Delta States,State,2011,2200
Mississippi,Farm Real Estate,Delta States,State,2011,2200
Southern Plains,Farm Real Estate,Southern Plains,Region,2011,1580
Oklahoma,Farm Real Estate,Southern Plains,State,2011,1260
Texas,Farm Real Estate,Southern Plains,State,2011,1670
Mountain,Farm Real Estate,Mountain,Region,2011,899
Arizona,Farm Real Estate,Mountain,State,2011,3330
Colorado,Farm Real Estate,Mountain,State,2011,1100
Idaho,Farm Real Estate,Mountain,State,2011,2060
Montana,Farm Real Estate,Mountain,State,2011,710
Nevada,Farm Real Estate,Mountain,State,2011,995
New Mexico,Farm Real Estate,Mountain,State,2011,470
Utah,Farm Real Estate,Mountain,State,2011,1800
Wyoming,Farm Real Estate,Mountain,State,2011,560
Pacific,Farm Real Estate,Pacific,Region,2011,4100
California,Farm Real Estate,Pacific,State,2011,6670
Oregon,Farm Real Estate,Pacific,State,2011,1900
Washington,Farm Real Estate,Pacific,State,2011,2060
United States,Farm Real Estate,Continental U.S.,Region,2011,2300
Northeast,Farm Real Estate,Northeast,Region,2012,4790
Connecticut,Farm Real Estate,Northeast,State,2012,11200
Delaware,Farm Real Estate,Northeast,State,2012,8150
Maine,Farm Real Estate,Northeast,State,2012,2070
Maryland,Farm Real Estate,Northeast,State,2012,6760
Massachusetts,Farm Real Estate,Northeast,State,2012,10400
New Hampshire,Farm Real Estate,Northeast,State,2012,4440
New Jersey,Farm Real Estate,Northeast,State,2012,12300
New York,Farm Real Estate,Northeast,State,2012,2650
Pennsylvania,Farm Real Estate,Northeast,State,2012,5300
Rhode Island,Farm Real Estate,Northeast,State,2012,13800
Vermont,Farm Real Estate,Northeast,State,2012,3060
Lake,Farm Real Estate,Lake States,Region,2012,3880
Michigan,Farm Real Estate,Lake States,State,2012,3890
Minnesota,Farm Real Estate,Lake States,State,2012,3740
Wisconsin,Farm Real Estate,Lake States,State,2012,4110
Corn Belt,Farm Real Estate,Corn Belt,Region,2012,5190
Illinois,Farm Real Estate,Corn Belt,State,2012,6210
Indiana,Farm Real Estate,Corn Belt,State,2012,5840
Iowa,Farm Real Estate,Corn Belt,State,2012,6530
Missouri,Farm Real Estate,Corn Belt,State,2012,2710
Ohio,Farm Real Estate,Corn Belt,State,2012,4640
Northern Plains,Farm Real Estate,Northern Plains,Region,2012,1620
Kansas,Farm Real Estate,Northern Plains,State,2012,1510
Nebraska,Farm Real Estate,Northern Plains,State,2012,2420
North Dakota,Farm Real Estate,Northern Plains,State,2012,1160
South Dakota,Farm Real Estate,Northern Plains,State,2012,1330
Appalachian,Farm Real Estate,Appalachian,Region,2012,3530
Kentucky,Farm Real Estate,Appalachian,State,2012,2840
North Carolina,Farm Real Estate,Appalachian,State,2012,4330
Tennessee,Farm Real Estate,Appalachian,State,2012,3520
Virginia,Farm Real Estate,Appalachian,State,2012,4260
West Virginia,Farm Real Estate,Appalachian,State,2012,2540
Southeast,Farm Real Estate,Southeast,Region,2012,3530
Alabama,Farm Real Estate,Southeast,State,2012,2390
Florida,Farm Real Estate,Southeast,State,2012,5160
Georgia,Farm Real Estate,Southeast,State,2012,3260
South Carolina,Farm Real Estate,Southeast,State,2012,3010
Delta,Farm Real Estate,Delta States,Region,2012,2440
Arkansas,Farm Real Estate,Delta States,State,2012,2620
Louisiana,Farm Real Estate,Delta States,State,2012,2400
Mississippi,Farm Real Estate,Delta States,State,2012,2250
Southern Plains,Farm Real Estate,Southern Plains,Region,2012,1620
Oklahoma,Farm Real Estate,Southern Plains,State,2012,1370
Texas,Farm Real Estate,Southern Plains,State,2012,1690
Mountain,Farm Real Estate,Mountain,Region,2012,953
Arizona,Farm Real Estate,Mountain,State,2012,3370
Colorado,Farm Real Estate,Mountain,State,2012,1170
Idaho,Farm Real Estate,Mountain,State,2012,2140
Montana,Farm Real Estate,Mountain,State,2012,760
Nevada,Farm Real Estate,Mountain,State,2012,1040
New Mexico,Farm Real Estate,Mountain,State,2012,520
Utah,Farm Real Estate,Mountain,State,2012,1800
Wyoming,Farm Real Estate,Mountain,State,2012,590
Pacific,Farm Real Estate,Pacific,Region,2012,4270
California,Farm Real Estate,Pacific,State,2012,6880
Oregon,Farm Real Estate,Pacific,State,2012,1960
Washington,Farm Real Estate,Pacific,State,2012,2260
United States,Farm Real Estate,Continental U.S.,Region,2012,2520
Northeast,Farm Real Estate,Northeast,Region,2013,4850
Connecticut,Farm Real Estate,Northeast,State,2013,11100
Delaware,Farm Real Estate,Northeast,State,2013,8170
Maine,Farm Real Estate,Northeast,State,2013,2100
Maryland,Farm Real Estate,Northeast,State,2013,6930
Massachusetts,Farm Real Estate,Northeast,State,2013,10400
New Hampshire,Farm Real Estate,Northeast,State,2013,4310
New Jersey,Farm Real Estate,Northeast,State,2013,12800
New York,Farm Real Estate,Northeast,State,2013,2600
Pennsylvania,Farm Real Estate,Northeast,State,2013,5430
Rhode Island,Farm Real Estate,Northeast,State,2013,13800
Vermont,Farm Real Estate,Northeast,State,2013,3200
Lake,Farm Real Estate,Lake States,Region,2013,4240
Michigan,Farm Real Estate,Lake States,State,2013,4300
Minnesota,Farm Real Estate,Lake States,State,2013,4300
Wisconsin,Farm Real Estate,Lake States,State,2013,4100
Corn Belt,Farm Real Estate,Corn Belt,Region,2013,5880
Illinois,Farm Real Estate,Corn Belt,State,2013,7100
Indiana,Farm Real Estate,Corn Belt,State,2013,6400
Iowa,Farm Real Estate,Corn Belt,State,2013,7700
Missouri,Farm Real Estate,Corn Belt,State,2013,2850
Ohio,Farm Real Estate,Corn Belt,State,2013,5100
Northern Plains,Farm Real Estate,Northern Plains,Region,2013,1960
Kansas,Farm Real Estate,Northern Plains,State,2013,1750
Nebraska,Farm Real Estate,Northern Plains,State,2013,2800
North Dakota,Farm Real Estate,Northern Plains,State,2013,1550
South Dakota,Farm Real Estate,Northern Plains,State,2013,1690
Appalachian,Farm Real Estate,Appalachian,Region,2013,3610
Kentucky,Farm Real Estate,Appalachian,State,2013,3020
North Carolina,Farm Real Estate,Appalachian,State,2013,4340
Tennessee,Farm Real Estate,Appalachian,State,2013,3570
Virginia,Farm Real Estate,Appalachian,State,2013,4310
West Virginia,Farm Real Estate,Appalachian,State,2013,2550
Southeast,Farm Real Estate,Southeast,Region,2013,3590
Alabama,Farm Real Estate,Southeast,State,2013,2500
Florida,Farm Real Estate,Southeast,State,2013,5200
Georgia,Farm Real Estate,Southeast,State,2013,3300
South Carolina,Farm Real Estate,Southeast,State,2013,2980
Delta,Farm Real Estate,Delta States,Region,2013,2520
Arkansas,Farm Real Estate,Delta States,State,2013,2700
Louisiana,Farm Real Estate,Delta States,State,2013,2550
Mississippi,Farm Real Estate,Delta States,State,2013,2270
Southern Plains,Farm Real Estate,Southern Plains,Region,2013,1630
Oklahoma,Farm Real Estate,Southern Plains,State,2013,1450
Texas,Farm Real Estate,Southern Plains,State,2013,1680
Mountain,Farm Real Estate,Mountain,Region,2013,1010
Arizona,Farm Real Estate,Mountain,State,2013,3500
Colorado,Farm Real Estate,Mountain,State,2013,1280
Idaho,Farm Real Estate,Mountain,State,2013,2220
Montana,Farm Real Estate,Mountain,State,2013,790
